term,coef,std_err,t,p_value,ci_low,ci_high,significance
is_alia,-1.800721230826788,1.4017619431435777,-1.2846127258873272,0.207365174388957,-4.646449265122172,1.0450068034685958,
ncp_alia,0.12498304311686183,0.07708513973203304,1.621363644813173,0.11391527504401729,-0.031508110203423964,0.2814741964371476,
is_brian,-0.7146534175561781,0.9290393805633274,-0.7692391006319287,0.44691177792823633,-2.6007036296945767,1.1713967945822203,
ncp_brian,0.10367833152434489,0.07954585130022912,1.3033782382067014,0.2009547216081876,-0.0578083318596731,0.26516499490836287,
is_bridget,-1.8300445554274556,1.394989278198138,-1.3118699792383095,0.19810391757374046,-4.662023348921719,1.0019342380668075,
ncp_bridget,0.12986578099554358,0.08399943869789153,1.5460315331702728,0.1310921585066811,-0.04066214547362468,0.30039370746471183,
is_leah,-1.7226271457538265,1.3229409421538187,-1.3021194604116622,0.2013799568333195,-4.408340041027272,0.9630857495196192,
ncp_leah,0.13950737205673935,0.08549701870387401,1.6317220667066143,0.11170475120175083,-0.03406080345576312,0.31307554756924183,
is_rachel,-1.7395615775532427,1.3891698439511257,-1.2522310249735342,0.21878912643390522,-4.559726291444715,1.0806031363382296,
ncp_rachel,0.11249183124668567,0.06738068347904141,1.6694967376173315,0.1039408210073208,-0.024298228495043192,0.24928189098841452,
vol_109,1.3783375104604496,0.935113762198581,1.4739784250632657,0.14942566710262975,-0.5200443519948954,3.2767193729157946,
vol_114,0.7027134708728031,0.7875560298927974,0.892271081929824,0.3783414433966261,-0.8961102693539289,2.301537211099535,
vol_119,0.4644538214261177,0.6399371956975131,0.7257803180511745,0.472799002135285,-0.8346877531416949,1.7635953959939301,
vol_120,2.301443515698236,1.641376682019474,1.4021422022802508,0.16968008363443407,-1.03072829971474,5.633615331111212,
vol_122,2.3064435156982377,1.641376682019475,1.4051884256455347,0.16877959848697488,-1.0257282997147406,5.638615331111216,
vol_124,1.4681321925552566,1.0953163656935818,1.3403727347994097,0.1887606037381042,-0.7554782453816358,3.691742630492149,
vol_126,1.9224380978467004,1.243358792461716,1.546165201470511,0.1310599177380835,-0.6017144443896021,4.446590640083003,
vol_127,2.093920231384681,1.3807044857308426,1.5165593021712498,0.1383589209605762,-0.7090588916683149,4.896899354437677,
vol_130,2.5521192168186833,1.7035269295368278,1.498138463541976,0.14306295784803286,-0.9062243088219941,6.01046274245936,
vol_131,2.941949421379759,1.7889728722341,1.6444907952717034,0.10902856877458045,-0.6898585899674754,6.5737574327269925,
vol_132,3.162873435087674,1.9445271862324536,1.6265514092481177,0.11280373586826391,-0.7847266223811609,7.110473492556509,
vol_133,4.273668381502812,2.6373136833627857,1.6204626732355718,0.11410923270069677,-1.0803630363750933,9.627699799380718,
vol_134_part_2,4.536209197752264,2.750809350713151,1.649045287917262,0.10808688786932207,-1.0482306742356817,10.12064906974021,
vol_134_part_i,3.5003833109258373,2.220512351078974,1.576385427095219,0.12393394167310769,-1.0074964177773973,8.008263039629071,
vol_61,4.0243829133931905,2.4834612248286043,1.6204734236069793,0.11410691680479955,-1.0173114086336668,9.066077235420048,
vol_62,3.4837974487955914,2.1001830021005503,1.6588066112863424,0.10609126347742878,-0.7798007145453423,7.7473956121365255,
vol_63,4.0893829133932,2.483461224828605,1.6466465723359247,0.10858200273567198,-0.9523114086336593,9.131077235420058,
vol_91,0.4645853883491224,0.3364598632478674,1.3808047826699195,0.1760932650588861,-0.2184644475683994,1.147635224266644,
vol_93,0.6906806345590696,0.49310724470599043,1.4006702233119288,0.17011655558058134,-0.31038029239624343,1.6917415615143825,
vol_94,0.2480489474440132,0.21557563288333773,1.1506353669305889,0.25768311481671086,-0.18959285401003603,0.6856907488980625,
