volume,volume_file,chosen_sheet,chosen_date,drive_mtime,n_orders_in_agreement_sheet,coders_in_assignment
Volume 95,2026-03-23 First Coding Check _ Volume 95,agreement 421,2026-04-21,2026-05-15T20:37:38.074000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 124,2025-12-05 First Coding Check : Volume 124,agreement 224,2026-02-24,2026-05-11T17:47:53.606000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 132,2025-10-05 First Coding Check: Volume 132,agreement 1113,2025-11-13,2026-05-11T17:46:44.155000+00:00,600,"Alia, Bridget, Leah, Rachel"
Volume 94,2026-03-20 First Coding Check _ Volume 94,agreement 412,2026-04-12,2026-04-24T20:40:20.433000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 122,2025-12-05 First Coding Check : Volume 122,agreement 115,2026-01-15,2026-04-22T21:49:37.617000+00:00,600,"Brian, Rachel"
Volume 119,2026-03-06 First Coding Check: Volume 119,agreement 324,2026-03-24,2026-04-22T21:37:20.209000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 134 - Part I,2025-06-17 first coding check : Volume 134 - Part I,109 agreement,2026-01-09,2026-04-21T17:33:11.517000+00:00,200,
Volume 91,2026-03-20 First Coding Check _ Volume 91,agreement 45,2026-04-05,2026-04-15T21:22:20.174000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 114,2026-02-27 First Coding Check : Volume 114,agreement 310,2026-03-10,2026-04-15T21:18:32.654000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 93,2026-03-20 First Coding Check _ Volume 93,agreement 330,2026-03-30,2026-04-07T02:37:47.075000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 109,2026-02-18 First Coding Check : Volume 109,agreement 33,2026-03-03,2026-03-10T16:45:30.219000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 120,2025-12-05 First Coding Check : Volume 120,agreement 115,2026-01-15,2026-03-10T15:27:06.216000+00:00,600,"Brian, Rachel"
Volume 127,2025-12-05 First Coding Check : Volume 127,24 agreement,2026-02-04,2026-03-03T03:17:31.441000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 126,2025-12-05 First Coding Check : Volume 126,agreement 217,2026-02-17,2026-02-27T03:22:46.448000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 130,2025-11-17 First Coding Check : Volume 130,agreement 11,2026-01-01,2026-01-27T21:47:24.832000+00:00,600,"Alia, Brian, Bridget, Leah, Rachel"
Volume 131,2025-10-24 First Coding Check : Volume 131,agreement 1121,2025-11-21,2026-01-27T18:56:20.611000+00:00,600,"Alia, Bridget, Leah, Rachel"
Volume 62,2025-09-14 First Coding Check: Volume 62,115 agreement,2025-01-15,2025-11-14T05:35:37.166000+00:00,600,"Alia, Bridget, Leah, Rachel"
Volume 61,2025-09-14 First Coding Check: Volume 61,104 agreement,2025-01-04,2025-11-05T19:43:44.097000+00:00,600,"Alia, Bridget, Leah, Rachel"
Volume 133,2025-08-01 First Coding Check : Volume 133,922 agreement,2025-09-22,2025-10-29T20:30:57.620000+00:00,600,"Alia, Rachel"
Volume 134 - Part 2,2025-06-30 Second Coding Check : Volume 134 - Part 2,104 agreement,2025-01-04,2025-10-24T21:57:48.788000+00:00,400,"Alia, Bridget, Leah, Rachel"
